-15.070510045323303	-24.696062670831026	28.350433200623272 1
-15.988876844634191	-31.217681251860462	29.377544563009238 1
-15.957243341891054	-42.326570782075756	31.143958564354413 1
-5.233999627998798	-20.128616893031136	27.728083930461398 1
-6.772638201501699	-30.401301918614180	29.344992030377561 1
-7.734395732461163	-45.150391507696916	31.679640798139808 1
8.553897164454881	-20.909822377557106	27.997746494208798 2
7.478216080045130	-32.581125792089495	29.841889929225633 2
6.291287403691132	-46.089218742435826	31.976870643426018 2
17.618268270106253	-27.669028136697882	29.167950720169831 2
15.834197296655478	-35.868482719033018	30.452669296886253 2
13.832602804694194	-44.742541331656881	31.842340802623376 2
-16.827920553198521	-36.999105949423992	43.547633431533320 1
-12.332752195791475	-37.042817307222997	43.602008269112041 1
-17.649769351008587	-41.254559802248366	44.215490469358734 1
-13.852162300634497	-41.907767272213569	44.359402871618812 1
